sample,x,y,confidence,real_cm
1,175.096161,341.730774,0.93548298,6.000000
2,174.423080,346.153870,0.91153383,6.000000
3,171.923080,354.423096,0.91544390,6.000000
4,171.346161,353.653870,0.92864037,6.000000
5,170.576935,355.192322,0.93157291,6.000000
6,168.269241,354.615387,0.95014572,6.000000
7,173.365387,352.115387,0.93841553,6.000000
8,173.750000,350.000000,0.92521906,6.000000
9,174.807693,348.269257,0.92521906,6.000000
10,172.788467,350.192322,0.93694925,6.000000
11,173.942307,348.269257,0.91984272,6.000000
12,174.038467,347.307709,0.91348886,6.000000
13,172.884628,347.884613,0.90371370,6.000000
14,172.980774,347.884613,0.91300011,6.000000
15,172.596161,347.884613,0.91348886,6.000000
16,173.076935,347.884613,0.91544390,6.000000
17,173.557693,347.500000,0.90224743,6.000000
18,173.557693,347.500000,0.90078115,6.000000
19,174.134628,347.884613,0.91691017,6.000000
20,173.173080,348.076935,0.91104507,6.000000
21,174.134628,347.307709,0.91397762,6.000000
22,174.326935,347.115387,0.91495514,6.000000
23,173.076935,348.461548,0.92326403,6.000000
24,173.461548,348.269257,0.90860128,6.000000
25,172.980774,348.461548,0.91886520,6.000000
26,173.076935,348.269257,0.91202259,6.000000
27,173.365387,349.230774,0.91642141,6.000000
28,173.461548,349.423096,0.91642141,6.000000
29,174.134628,348.653870,0.90909004,6.000000
30,174.423080,348.269257,0.91642141,6.000000
31,173.942307,348.653870,0.92179775,6.000000
32,173.653854,349.615387,0.91837645,6.000000
33,173.846161,349.615387,0.92033148,6.000000
34,174.134628,349.807709,0.93255043,6.000000
35,174.230774,350.000000,0.92473030,6.000000
36,174.423080,350.576935,0.93499422,6.000000
37,175.096161,351.153870,0.93694925,6.000000
38,175.000000,350.576935,0.93303919,6.000000
39,175.096161,350.576935,0.94085932,6.000000
40,174.903854,348.846161,0.92668533,6.000000
41,175.288467,349.807709,0.93059540,6.000000
42,175.192307,349.423096,0.93157291,6.000000
43,175.288467,349.230774,0.92815161,6.000000
44,175.192307,349.615387,0.92326403,6.000000
45,175.480774,349.423096,0.92130899,6.000000
46,175.865387,348.846161,0.91055632,6.000000
47,175.961548,348.653870,0.91202259,6.000000
48,176.153854,348.269257,0.90909004,6.000000
49,177.115387,347.500000,0.89931488,6.000000
50,177.500000,347.115387,0.90029240,6.000000
51,179.423080,346.153870,0.91397762,6.000000
52,178.365387,346.730774,0.89931488,6.000000
53,178.942322,346.538483,0.90126991,6.000000
54,177.019241,349.230774,0.90126991,6.000000
55,177.211548,349.230774,0.89931488,6.000000
56,176.346161,349.615387,0.92179775,6.000000
57,175.576935,350.192322,0.92668533,6.000000
58,178.365387,349.615387,0.89687109,6.000000
59,177.019241,350.961548,0.90126991,6.000000
60,177.692322,350.576935,0.89833736,6.000000
61,176.442322,350.384613,0.92179775,6.000000
62,176.538467,349.807709,0.91788769,6.000000
63,175.961548,350.961548,0.92130899,6.000000
64,176.442322,350.576935,0.91104507,6.000000
65,177.019241,351.153870,0.91642141,6.000000
66,176.346161,351.346161,0.91691017,6.000000
67,176.153854,350.961548,0.92082024,6.000000
68,176.442322,350.384613,0.91837645,6.000000
69,176.057693,350.576935,0.92179775,6.000000
70,175.576935,350.384613,0.93792677,6.000000
71,175.480774,350.192322,0.92473030,6.000000
72,176.250000,349.230774,0.91300011,6.000000
73,176.346161,349.807709,0.92130899,6.000000
74,175.673080,350.000000,0.92766285,6.000000
75,175.384628,349.423096,0.92668533,6.000000
76,175.096161,348.846161,0.92473030,6.000000
77,175.192307,348.653870,0.92033148,6.000000
78,174.903854,349.615387,0.93010664,6.000000
79,174.711548,348.269257,0.91837645,6.000000
80,174.903854,348.076935,0.92668533,6.000000
81,174.423080,348.076935,0.91397762,6.000000
82,174.615387,348.461548,0.91837645,6.000000
83,174.615387,348.461548,0.92179775,6.000000
84,174.615387,348.461548,0.92082024,6.000000
85,175.000000,348.076935,0.91495514,6.000000
86,174.807693,348.461548,0.91153383,6.000000
87,175.000000,348.269257,0.91348886,6.000000
88,175.096161,348.269257,0.92130899,6.000000
89,174.519241,348.846161,0.92473030,6.000000
90,174.711548,348.461548,0.92033148,6.000000
91,174.519241,349.230774,0.92277527,6.000000
92,174.230774,349.615387,0.91642141,6.000000
93,174.230774,349.423096,0.92277527,6.000000
94,174.326935,349.038483,0.91984272,6.000000
95,174.134628,349.615387,0.92668533,6.000000
96,173.461548,349.807709,0.92277527,6.000000
97,173.942307,349.230774,0.91397762,6.000000
98,172.211548,349.807709,0.94330311,6.000000
99,173.269241,349.230774,0.91300011,6.000000
100,172.307693,349.423096,0.94183683,6.000000
