sample,x,y,confidence,real_cm
1,229.230774,350.576935,0.93101406,2.000000
2,228.653854,353.076935,0.92570782,2.000000
3,228.269241,358.461548,0.90517998,2.000000
4,227.500015,358.653870,0.91300011,2.000000
5,227.115387,357.307709,0.92473030,2.000000
6,228.269241,357.115387,0.92375278,2.000000
7,227.115387,352.692322,0.93450546,2.000000
8,227.884628,352.500000,0.91642141,2.000000
9,228.846161,352.115387,0.92130899,2.000000
10,229.038467,351.923096,0.92864037,2.000000
11,228.846161,352.500000,0.92717409,2.000000
12,229.038467,352.500000,0.92766285,2.000000
13,229.038467,352.884644,0.93010664,2.000000
14,228.846161,352.884644,0.92766285,2.000000
15,229.230774,352.884644,0.93157291,2.000000
16,228.846161,352.884644,0.92375278,2.000000
17,228.846161,352.884644,0.92277527,2.000000
18,228.846161,352.884644,0.92717409,2.000000
19,228.846161,352.307709,0.92766285,2.000000
20,228.653854,351.923096,0.92375278,2.000000
21,228.653854,351.730774,0.91837645,2.000000
22,228.653854,351.923096,0.91691017,2.000000
23,228.653854,351.923096,0.92521906,2.000000
24,228.846161,352.307709,0.92130899,2.000000
25,228.653854,352.307709,0.92717409,2.000000
26,228.653854,351.923096,0.91984272,2.000000
27,228.846161,351.923096,0.91300011,2.000000
28,228.846161,351.730774,0.92668533,2.000000
29,228.461548,351.730774,0.92130899,2.000000
30,228.653854,351.923096,0.92668533,2.000000
31,228.461548,352.115387,0.92375278,2.000000
32,228.269241,351.730774,0.92082024,2.000000
33,228.461548,351.730774,0.91691017,2.000000
34,228.461548,351.730774,0.91691017,2.000000
35,227.884628,351.346161,0.91153383,2.000000
36,227.884628,352.115387,0.92179775,2.000000
37,227.692322,352.115387,0.92473030,2.000000
38,227.307693,351.923096,0.91348886,2.000000
39,227.500015,351.538483,0.90860128,2.000000
40,227.500015,351.538483,0.91544390,2.000000
41,227.307693,351.153870,0.90811253,2.000000
42,227.307693,351.153870,0.90566874,2.000000
43,227.307693,350.576935,0.90420246,2.000000
44,227.500015,351.153870,0.91055632,2.000000
45,227.500015,351.346161,0.91055632,2.000000
46,227.115387,350.384613,0.91202259,2.000000
47,226.923080,350.576935,0.91006756,2.000000
48,227.115387,350.384613,0.91348886,2.000000
49,226.923080,350.576935,0.90811253,2.000000
50,227.115387,350.192322,0.90713501,2.000000
51,227.884628,351.730774,0.91976166,2.000000
52,227.500015,352.884644,0.93988180,2.000000
53,227.500015,352.307709,0.93352795,2.000000
54,227.307693,352.307709,0.93059540,2.000000
55,227.884628,352.115387,0.92473030,2.000000
56,228.076935,353.461548,0.93988180,2.000000
57,227.307693,352.884644,0.93206167,2.000000
58,227.115387,352.307709,0.93255043,2.000000
59,227.115387,352.307709,0.92473030,2.000000
60,227.884628,351.730774,0.91976166,2.000000
61,227.307693,351.923096,0.92033148,2.000000
62,227.884628,352.115387,0.92473030,2.000000
63,227.500015,351.346161,0.91055632,2.000000
64,227.884628,351.730774,0.91976166,2.000000
65,226.346161,350.384613,0.91300011,2.000000
66,226.153854,350.192322,0.91202259,2.000000
67,226.346161,349.230774,0.90909004,2.000000
68,226.153854,349.807709,0.91593266,2.000000
69,226.346161,350.192322,0.92473030,2.000000
70,226.346161,349.807709,0.91202259,2.000000
71,226.538467,350.000000,0.91788769,2.000000
72,226.730774,349.423096,0.91006756,2.000000
73,226.730774,349.807709,0.91495514,2.000000
74,226.538467,349.230774,0.90224743,2.000000
75,226.538467,349.615387,0.90517998,2.000000
76,226.538467,349.230774,0.91202259,2.000000
77,226.538467,349.230774,0.90126991,2.000000
78,226.538467,348.653870,0.90811253,2.000000
79,226.538467,348.846161,0.90664625,2.000000
80,226.153854,349.230774,0.91104507,2.000000
81,226.153854,349.038483,0.90566874,2.000000
82,226.346161,349.038483,0.90566874,2.000000
83,226.346161,348.461548,0.90517998,2.000000
84,226.153854,349.615387,0.91495514,2.000000
85,226.346161,349.423096,0.91886520,2.000000
86,226.538467,351.346161,0.91691017,2.000000
87,226.730774,351.153870,0.90909004,2.000000
88,226.538467,351.346161,0.91691017,2.000000
89,226.730774,351.153870,0.90909004,2.000000
90,226.923080,351.153870,0.91544390,2.000000
91,226.538467,351.730774,0.91886520,2.000000
92,226.538467,351.538483,0.92179775,2.000000
93,226.730774,351.346161,0.92179775,2.000000
94,226.923080,350.961548,0.90615749,2.000000
95,226.730774,350.961548,0.91300011,2.000000
96,226.346161,350.384613,0.91593266,2.000000
97,225.000015,352.500000,0.93206167,2.000000
98,225.000015,352.884644,0.93988180,2.000000
99,225.192322,353.076935,0.94525814,2.000000
100,225.192322,353.076935,0.94379187,2.000000
